review_priority,input,expected_en,out_no_context,out_after_english,ok_no_context,ok_after_english,subcase,reason,suite_hint,in_ctx_whitelist,in_collision_table,len,suite_category,suite_severity,suite_notes,case_variant_of
P1_restored_but_suite_says_never,ARMS,ARMS,ARMS,ARMS,1,1,ok_both,-,never,0,1,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"ÁM"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"arms""""; modifier key phai case-insensitive, output phai giu case goc""",
P1_restored_but_suite_says_never,Arms,Arms,Arms,Arms,1,1,ok_both,-,never,0,1,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"Ám"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"arms""""; modifier key phai case-insensitive, output phai giu case goc""",ARMS
P1_restored_but_suite_says_never,arms,arms,arms,arms,1,1,ok_both,-,never,0,1,4,collision_vn_word,high,"never,""restore se lam tu tieng Viet """"ám"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). ra tu tieng Viet hop le """"ám""""; can whitelist hoac context""",ARMS
P1_restored_but_suite_says_never,ARTS,ARTS,ARTS,ARTS,1,1,ok_both,-,never,0,1,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"ÁT"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"arts""""; modifier key phai case-insensitive, output phai giu case goc""",
P1_restored_but_suite_says_never,Arts,Arts,Arts,Arts,1,1,ok_both,-,never,0,1,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"Át"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"arts""""; modifier key phai case-insensitive, output phai giu case goc""",ARTS
P1_restored_but_suite_says_never,arts,arts,arts,arts,1,1,ok_both,-,never,0,1,4,collision_vn_word,high,"never,""restore se lam tu tieng Viet """"át"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). ra tu tieng Viet hop le """"át""""; can whitelist hoac context""",ARTS
P1_restored_but_suite_says_never,BARS,BARS,BARS,BARS,1,1,ok_both,-,never,0,1,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"BÁ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"bars""""; modifier key phai case-insensitive, output phai giu case goc""",
P1_restored_but_suite_says_never,Bars,Bars,Bars,Bars,1,1,ok_both,-,never,0,1,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"Bá"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"bars""""; modifier key phai case-insensitive, output phai giu case goc""",BARS
P1_restored_but_suite_says_never,bars,bars,bars,bars,1,1,ok_both,-,never,0,1,4,collision_vn_word,high,"never,""restore se lam tu tieng Viet """"bá"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). ra tu tieng Viet hop le """"bá""""; can whitelist hoac context""",BARS
P1_restored_but_suite_says_never,BEEN,BEEN,BÊN,BEEN,0,1,ctx_fixes,-,never,1,0,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"BÊN"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"been""""; modifier key phai case-insensitive, output phai giu case goc""",
