review_priority,input,expected_en,out_no_context,out_after_english,ok_no_context,ok_after_english,subcase,reason,suite_hint,in_ctx_whitelist,in_collision_table,len,suite_category,suite_severity,suite_notes,case_variants
P1_restored_but_suite_says_never,ARMS,ARMS,ARMS,ARMS,1,1,ok_both,-,never,0,1,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"ÁM"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"arms""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,ARTS,ARTS,ARTS,ARTS,1,1,ok_both,-,never,0,1,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"ÁT"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"arts""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,BARS,BARS,BARS,BARS,1,1,ok_both,-,never,0,1,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"BÁ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"bars""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,BEEN,BEEN,BÊN,BEEN,0,1,ctx_fixes,-,never,1,0,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"BÊN"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"been""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,CARS,CARS,CARS,CARS,1,1,ok_both,-,never,0,1,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"CÁ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"cars""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,CHARTS,CHARTS,CHARTS,CHARTS,1,1,ok_both,-,never,0,1,6,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"CHÁT"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"charts""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,DOWN,DOWN,DOWN,DOWN,1,1,ok_both,-,never,1,1,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"DƠN"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"down""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,her,her,her,her,1,1,ok_both,-,never,1,1,3,collision_vn_syllable,medium,"never,""restore se lam tu tieng Viet """"hẻ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). ra syllable tieng Viet hop le """"hẻ""""""",1
P1_restored_but_suite_says_never,HIS,HIS,HÍ,HIS,0,1,ctx_fixes,-,never,1,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"HÍ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"his""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,HOW,HOW,HƠ,HOW,0,1,ctx_fixes,-,never,1,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"HƠ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"how""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,LOW,LOW,LƠ,LOW,0,1,ctx_fixes,-,never,1,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"LƠ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"low""""; modifier key phai case-insensitive, output phai giu case goc""",3
